rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,estimated_median_price,estimated_median_price_k,price_to_risk_ratio,investment_opportunity_score,opportunity_category,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
344,99999949999,OT,11,80.39812235873227,99.44537869478042,287871.6517034809,287.87165170348095,3.58057680027666,99.99834675219469,Excellent,0,100.0,36.36363636363637,100.0
11,60105102722,TAS,433,97.35660718504066,99.98383028264666,509272.07731797954,509.27207731797955,5.230996560408402,99.99669350438937,Excellent,325,96.81372549019608,36.25866050808314,98.24056544987984
110,80110114601,ACT,7,89.59083733381944,99.82375008084858,531222.425906571,531.222425906571,5.929428072283917,99.99504025658406,Excellent,75,100.0,85.71428571428571,98.96512292738709
100,30503112628,QLD,507,90.1955488839084,99.83991979820192,559098.2715803003,559.0982715803003,6.1987346215933705,99.99338700877874,Excellent,606,88.83928571428571,39.8422090729783,79.14038440002582
22,30501110532,QLD,480,95.70532306396848,99.96604359355798,603389.4998726251,603.3894998726252,6.304659767663348,99.99173376097343,Excellent,412,94.98861047835992,31.25,97.48341743919929
180,30503112625,QLD,348,86.20200655047391,99.7105620593752,551174.3513136775,551.1743513136774,6.3939851677460435,99.99008051316812,Excellent,641,85.36585365853658,44.82758620689656,71.57766081674819
112,30503112621,QLD,175,89.48603897355831,99.82051613737792,582269.4593875149,582.2694593875149,6.5068190084887565,99.9884272653628,Excellent,597,93.006993006993,43.42857142857143,82.22126211183416
19,40101100146,SA,354,96.1825306798888,99.970894508764,632596.8550579975,632.5968550579975,6.577045234579898,99.9867740175575,Excellent,397,89.42307692307693,33.05084745762712,95.62384659792866
86,21205156721,VIC,600,90.80154585661244,99.8625574024966,600809.803937821,600.8098039378209,6.6167354120444,99.98512076975217,Excellent,559,89.7872340425532,44.333333333333336,85.04762829818655
26,30501110522,QLD,727,95.4242139803019,99.95957570661665,639208.1682343549,639.208168234355,6.698595058548814,99.98346752194686,Excellent,461,90.76246334310852,39.0646492434663,94.2432364226571
141,60105103217,TAS,411,87.84587440478823,99.77362395705325,589036.274476974,589.0362744769741,6.705337939522717,99.98181427414156,Excellent,627,91.89944134078212,41.84914841849148,78.07880400890367
16,40101100159,SA,332,96.86433404337517,99.97574542396998,654754.8388008574,654.7548388008574,6.759503849039656,99.98016102633623,Excellent,362,88.88888888888889,37.65060240963856,95.49989793349997
679,60105102706,TAS,365,75.85081670270894,98.9036931634435,513186.4428537773,513.1864428537773,6.765733912466223,99.97850777853093,Excellent,704,78.19314641744548,45.47945205479452,52.9706489943433
73,40101100152,SA,723,91.72716569063635,99.88357803505596,627105.7001980094,627.1057001980093,6.8366409828143775,99.9768545307256,Excellent,583,88.52201257861635,40.38727524204703,81.53006203383221
325,60105102723,TAS,510,80.94850878158016,99.47610115775176,553890.7076919919,553.8907076919919,6.8425066258667115,99.9752012829203,Excellent,644,79.66903073286052,43.13725490196079,63.88238325514357
21,40101100153,SA,235,95.765887422244,99.96766056529331,660189.7978845339,660.1897978845338,6.8937887556314585,99.97354803511499,Excellent,49,92.76018099547512,18.29787234042553,98.0136098790901
14,40101100156,SA,229,97.01514357652482,99.97897936744066,670936.4268093972,670.9364268093972,6.915790690761257,99.97189478730967,Excellent,11,94.83568075117373,19.65065502183406,98.49918412933772
61,40101100157,SA,189,93.32882585725795,99.90298169587996,646346.6005831453,646.3466005831452,6.925476610749415,99.97024153950436,Excellent,539,87.00564971751412,48.14814814814815,84.84893851819722
65,40101100149,SA,433,92.81226654238776,99.89651380893862,653306.797075354,653.306797075354,7.039013499115292,99.96858829169905,Excellent,570,90.72164948453609,45.72748267898383,84.43232728961834
946,60105102717,TAS,466,73.20283934970209,98.47196171010933,519103.8243238424,519.1038243238424,7.091307235283559,99.96693504389373,Excellent,766,81.2987012987013,43.776824034334766,46.15063616797829
244,50603112432,WA,584,83.16625127699129,99.60707586831384,592676.7986570015,592.6767986570014,7.126409926582454,99.96528179608842,Excellent,607,88.4861407249467,46.06164383561644,78.76731064496525
208,70102101307,NT,406,84.78467323414813,99.66528685078583,604475.4035835285,604.4754035835284,7.129536277319379,99.9636285482831,Excellent,618,95.08196721311477,58.3743842364532,80.06392668775828
170,30503112626,QLD,541,86.4340795349439,99.72673177672854,617076.7431783382,617.0767431783381,7.139275925636068,99.96197530047779,Excellent,589,90.44289044289044,37.52310536044362,82.10587630503625
328,90102100203,OT,14,80.79887923662406,99.47125024254576,578201.333165125,578.201333165125,7.156056354096569,99.96032205267248,Excellent,612,100.0,57.14285714285714,81.3370905823736
23,40101100160,SA,414,95.60077228602935,99.96442662182264,684539.784446798,684.5397844467981,7.160400152403722,99.95866880486716,Excellent,516,92.51336898395722,44.68599033816425,89.99856007935793
63,20604150526,VIC,32,92.96519521645688,99.89974775240928,668166.4850642411,668.1664850642411,7.187275662773642,99.95701555706185,Excellent,537,88.46153846153845,56.25,86.14104476644366
125,30403109602,QLD,304,88.74613231302918,99.79949550481858,638289.3805145436,638.2893805145436,7.192306457515713,99.95536230925653,Excellent,420,96.1977186311787,29.276315789473685,97.4354406322091
116,40101100147,SA,1014,89.35528876591334,99.81404825043658,644017.9371755823,644.0179371755822,7.207384655906992,99.95370906145122,Excellent,581,83.85481852315394,45.46351084812624,77.33350444025606
30,40101100139,SA,301,95.04394136981318,99.95310781967532,686510.2709078287,686.5102709078287,7.22308293420448,99.95205581364591,Excellent,303,85.43307086614173,34.88372093023256,92.85240290063832
338,30503112610,QLD,529,80.52338480315116,99.4550805251924,586470.0670760544,586.4700670760544,7.283226711218724,99.95040256584059,Excellent,647,83.91959798994975,34.593572778827976,69.11305717850081
341,30503112623,QLD,182,80.48289461265577,99.45022960998642,587208.5328377662,587.2085328377663,7.296066271769367,99.94874931803528,Excellent,749,87.5,39.56043956043956,56.19684222202648
90,20803119201,VIC,26,90.52414712568373,99.85608951555528,663146.2661168386,663.1462661168385,7.3256284336612,99.94709607022996,Excellent,0,100.0,11.538461538461538,100.0
389,30503112622,QLD,650,79.6048302064222,99.3726149666904,583379.4366739546,583.3794366739546,7.3284426982785,99.94544282242465,Excellent,802,93.43339587242026,45.07692307692307,50.05472780258148
6955,70101100101,NT,23,57.65399174826901,88.7555785524869,425097.8890051902,425.0978890051902,7.373260308865834,99.94378957461934,Excellent,1166,100.0,69.56521739130434,10.788205505186651
525,60105102720,TAS,951,77.66720037954497,99.15270681068496,576005.7050989596,576.0057050989597,7.4163315052445355,99.94213632681402,Excellent,748,82.68733850129199,52.57623554153522,51.343329490061365
47,30504113729,QLD,367,93.91946588038968,99.92561930017465,696828.5147063315,696.8285147063316,7.419425868475141,99.94048307900871,Excellent,481,89.50437317784257,36.51226158038147,91.7294832863228
135,21205156720,VIC,1077,88.24805303182022,99.78332578746524,655866.6279458996,655.8666279458996,7.432080430255035,99.93882983120339,Excellent,655,88.9261744966443,48.653667595171775,72.81414555798199
131,21205156715,VIC,535,88.44465120574557,99.78979367440655,659034.2125387785,659.0342125387785,7.451374430836878,99.93717658339808,Excellent,556,91.4027149321267,51.58878504672897,86.12325489635887
91,40101100135,SA,390,90.46591325814138,99.85447254381994,674316.2464390526,674.3162464390526,7.453815720788827,99.93552333559278,Excellent,557,85.02994011976048,43.07692307692308,81.32122312391714
54,60201103607,TAS,315,93.55608949580376,99.9143004980273,700924.045584227,700.924045584227,7.4920194865099115,99.93387008778745,Excellent,357,95.7983193277311,34.92063492063492,98.01012274988724
57,21205156702,VIC,1166,93.44315495562849,99.9094495828213,701820.7996358684,701.8207996358684,7.510671059524138,99.93221683998215,Excellent,254,97.83978397839785,10.720411663807887,98.48530525713424
96,40101100155,SA,712,90.3131558370292,99.84638768514328,682095.7365906471,682.0957365906471,7.5525623068857675,99.93056359217684,Excellent,520,82.26351351351352,40.16853932584269,81.23559017951261
46,40101100161,SA,544,93.9225941065631,99.92723627190998,709604.0638690715,709.6040638690715,7.55520086108318,99.92891034437152,Excellent,375,84.72505091649694,29.411764705882355,91.73949553560918
43,21205156710,VIC,241,94.09891291684912,99.93208718711595,714350.1575136794,714.3501575136794,7.591481509939629,99.92725709656621,Excellent,575,95.92760180995477,49.37759336099585,85.2584920862987
31,21205156723,VIC,250,94.98432748207954,99.95149084793998,722379.5235820896,722.3795235820895,7.605249652563778,99.92560384876089,Excellent,557,93.5064935064935,56.8,86.77404199636814
8,20604150418,VIC,405,97.96428768669487,99.98868119785266,750917.9392135431,750.917939213543,7.665221244859108,99.92395060095558,Excellent,391,91.86351706036746,33.58024691358025,96.9187144630835
1371,40402110207,SA,750,70.16622974600402,97.78474872259233,538438.6235087289,538.4386235087289,7.673757382402225,99.92229735315027,Excellent,576,70.32374100719424,36.53333333333333,56.72604661476093
5944,70201104914,NT,447,59.04616248583148,90.39033697690964,453729.0456272498,453.72904562724983,7.684310487343274,99.92064410534495,Excellent,1269,77.56410256410257,53.24384787472036,-9.371490234258346
75,30503112619,QLD,321,91.64788472873369,99.88034409158529,704428.6049036853,704.4286049036853,7.686250555467877,99.91899085753964,Excellent,337,91.81494661921708,21.49532710280374,97.24412877175357
147,40101100158,SA,647,87.3524354115085,99.76392212664122,671493.7754570673,671.4937754570673,7.687178637821922,99.91733760973432,Excellent,608,82.2992700729927,44.20401854714065,72.39382899947918
241,30501110519,QLD,320,83.21575108779513,99.61192678351982,639997.0843392867,639.9970843392866,7.690816653977808,99.91568436192901,Excellent,595,93.23308270676692,23.125,82.51351534041288
507,60201104008,TAS,52,77.90844825263054,99.18181230192096,599989.5577490687,599.9895577490687,7.701213041793711,99.9140311141237,Excellent,790,91.30434782608695,67.3076923076923,50.8655468630158
529,30501110537,QLD,1225,77.59697765679827,99.1462389237436,599311.2184069905,599.3112184069905,7.723383519621977,99.91237786631838,Excellent,826,87.02222222222223,45.06122448979592,42.01492518242234
356,40101100140,SA,365,80.1320754603658,99.4259750339564,620249.3007230161,620.2493007230162,7.740337401217048,99.91072461851307,Excellent,777,88.05970149253731,43.013698630136986,51.36580208233623
331,30503112627,QLD,381,80.76098578377618,99.46639932733976,627413.3926082056,627.4133926082055,7.768768378929875,99.90907137070775,Excellent,788,92.50814332247556,48.29396325459317,51.7030941850165
3722,70102101607,NT,411,62.59590834374804,93.98324817282194,486340.14764003607,486.3401476400361,7.769519773868907,99.90741812290244,Excellent,717,65.63573883161511,36.009732360097324,27.80147717928265
806,30501110531,QLD,336,74.56036141962527,98.69833775305608,583170.8994141924,583.1708994141924,7.821460200978776,99.90576487509713,Excellent,820,84.35114503816794,50.89285714285714,40.35965585994632
163,60105102908,TAS,332,86.7168529581077,99.73805057887589,679532.6643318376,679.5326643318375,7.836223769099589,99.90411162729181,Excellent,258,94.52054794520548,23.49397590361446,98.2433398036685
475,30501110541,QLD,472,78.27137935112361,99.23355539745164,614623.2092810812,614.6232092810812,7.852464264413888,99.9024583794865,Excellent,843,93.15403422982884,51.059322033898304,42.80619309084338
84,21205156701,VIC,349,90.87050721800092,99.86579134596728,715432.899298631,715.432899298631,7.873103399569315,99.90080513168118,Excellent,597,92.0754716981132,47.27793696275072,81.93554306611912
1767,50602131113,WA,286,68.13033812071998,97.14442791540004,537148.5613031166,537.1485613031166,7.884131741007132,99.89915188387587,Excellent,914,78.96995708154506,63.63636363636363,18.85049831247765
306,30501110523,QLD,469,81.50690055214918,99.50682362072313,643068.1682576392,643.0681682576392,7.8897389534054945,99.89749863607057,Excellent,789,90.52369077306732,54.58422174840085,50.68458473835001
59,30403109604,QLD,402,93.34874959733948,99.90621563935062,736611.0052491428,736.6110052491427,7.890957387501383,99.89584538826524,Excellent,490,95.97701149425288,38.80597014925373,92.85231635516992
126,21205156711,VIC,206,88.73104520850691,99.79787853308324,700830.2185083323,700.8302185083322,7.898365412708353,99.89419214045994,Excellent,570,93.24324324324324,39.80582524271845,85.39527544369004
152,60201104114,TAS,642,87.2316537045016,99.75583726796457,691429.9779367519,691.4299779367519,7.926365586040364,99.89253889265461,Excellent,498,82.897384305835,45.794392523364486,83.53275054431384
1633,40402110246,SA,10,68.84629298184873,97.3611021279348,545770.1694440844,545.7701694440844,7.927371915114969,99.8908856448493,Excellent,537,100.0,0.0,89.31144327370743
79,21205156713,VIC,452,91.09916729338696,99.87387620464392,722362.2934887921,722.3622934887921,7.929406107109715,99.889232397044,Excellent,475,89.3854748603352,42.2566371681416,92.23374935739989
511,30503112607,QLD,353,77.84535486975679,99.17534441497963,617855.556274639,617.855556274639,7.936961136709753,99.88757914923868,Excellent,673,84.69750889679716,35.12747875354108,66.60964483764607
