Country,Total_Population,Num_Suburbs_Present,Num_Suburbs_Concentrated,Median_Income_in_Concentration_Areas,Median_Tertiary_Rate_in_Concentration_Areas,Median_Employment_Rate_in_Concentration_Areas,Correlation_Income,Correlation_Education,Correlation_Employment,Income_Score,Education_Score,Employment_Score,Composite_Score
North_Macedonia,41093,250,7,648.0,26.611635220125784,46.09375,-0.21239810778619503,-0.17296623335914332,-0.20775170308773985,39.38009461069025,41.35168833204283,39.61241484561301,40.21519614621584
Croatia,42170,302,1,638.0,30.078543377365225,52.9957805907173,-0.17324358855532393,-0.2552335272245661,-0.12494506202578155,41.3378205722338,37.238323638771696,43.75274689871092,40.18100706414439
PNG,28470,345,2,375.5,3.6256684491978612,26.916316765940827,-0.18121939185179137,-0.22423299387880416,-0.18559041312798522,40.939030407410435,38.78835030605979,40.72047934360074,40.03504815410824
Afghanistan,59468,278,12,629.0,30.92161064441393,53.00940939342839,-0.2473453981855455,-0.18045722670256467,-0.2007572960385202,37.632730090722724,40.97713866487177,39.96213519807399,39.436374541852594
Canada,48532,609,0,,,,-0.19360767829375625,-0.2751929805990388,-0.1930903903397399,40.31961608531219,36.24035097004806,40.345480483013006,38.693082918746704
Mauritius,25057,101,0,,,,-0.08565753828091477,-0.3796150973468564,-0.2261814714479588,45.717123085954256,31.01924513265718,38.69092642760206,38.43273257296499
Poland,44941,287,0,,,,-0.2044760911612435,-0.28488649436842656,-0.20029792558974036,39.77619544193782,35.75567528157867,39.98510372051298,38.2097690335092
Bosnia_Herzegov,25528,122,0,,,,-0.25711888049690546,-0.19386683394687648,-0.30491108594616234,37.14405597515473,40.306658302656174,34.75444570269188,37.93117485166274
Myanmar,38484,202,5,482.0,19.4625,45.77034416211001,-0.30379747086740283,-0.19345344082521654,-0.23846484819156774,34.81012645662986,40.327327958739176,38.076757590421614,37.67033328423194
France,34810,355,2,703.5,9.273927392739274,55.80759330759331,-0.20338655316114013,-0.3556705027695327,-0.12836922518245322,39.830672341943,32.216474861523366,43.58153874087734,37.53516662956201
Australia,17020482,8957,8957,753.0,23.853211009174313,57.971014492753625,-0.2364343103948535,-0.4405501279789691,0.04421527156661831,38.178284480257325,27.972493601051546,52.21076357833092,36.902463948189734
Iraq,92378,276,39,536.0,25.873697118332313,41.52963671128107,-0.30009623151185905,-0.20586574825566525,-0.31754160507546536,34.99518842440705,39.706712587216735,34.122919746226735,36.70534435389486
Vietnam,257261,1304,126,581.5,27.038573952333838,49.63127773166116,-0.3257052734932637,-0.24248432714398255,-0.2990436357535982,33.714736325336816,37.875783642800876,35.047818212320095,35.64577162971909
Lebanon,86455,422,35,551.0,28.595741148146608,40.42025580788306,-0.319609580744481,-0.23170059138938423,-0.3925317592638459,34.01952096277595,38.414970430530786,30.3734120368077,35.048478964684236
Turkey,37892,147,4,441.0,22.141485554422662,36.214413813937654,-0.3640458432739067,-0.2569981781299184,-0.29371730835513754,31.797707836304667,37.15009109350408,35.31413458224312,34.64194648837213
